019	
.	
A	
Mother	mother
’	
s	s
Letter	letter
to	
the	
World	world
\n	
Dear	dear
World	world
:	
\n	
My	
son	son
starts	start
school	school
today	today
.	
\n	
It	
’	
s	s
going	go
to	
be	be
strange	strange
and	
new	new
to	
him	
for	
a	
while	while
.	
\n	
And	
I	
wish	wish
you	
would	would
sort	sort
of	
treat	treat
him	
gently	gently
.	
\n	
You	
see	see
,	
up	up
to	
now	now
,	
he	
’	
s	s
been	be
king	king
of	
the	
roost	roost
.	
\n	
He	
’	
s	s
been	be
boss	
of	
the	
back	back
yard	yard
.	
\n	
I	
have	have
always	always
been	be
around	
to	
repair	repair
his	
wounds	wound
,	
and	
to	
soothe	soothe
his	
feelings	feeling
.	
\n	
But	
now	now
-	
things	thing
are	be
going	go
to	
be	be
different	different
.	
\n	
This	
morning	morning
,	
he	
’	
s	s
going	go
to	
walk	walk
down	
the	
front	front
steps	step
,	
\n	
wave	wave
his	
hand	hand
and	
start	start
on	
his	
great	great
adventure	adventure
\n	
that	
will	will
probably	probably
include	include
wars	war
and	
tragedy	tragedy
and	
sorrow	sorrow
.	
\n	
To	
live	live
his	
life	life
in	
the	
world	world
he	
has	have
to	
live	live
in	
will	will
require	require
faith	faith
and	
love	love
and	
courage	courage
.	
\n	
So	so
,	
World	world
,	
I	
wish	wish
you	
would	would
sort	sort
of	
take	take
him	
by	
his	
young	young
hand	hand
\n	
and	
teach	teach
him	
the	
things	thing
he	
will	will
have	have
to	
know	know
.	
\n	
Teach	teach
him	
-	
but	
gently	gently
,	
if	
you	
can	can
.	
\n	
Teach	teach
him	
that	
for	
every	
scoundrel	scoundrel
,	
there	
is	be
a	
hero	hero
;	
\n	
that	
for	
every	
crooked	crooked
politician	politician
there	
is	be
a	
dedicated	dedicated
leader	leader
;	
\n	
that	
for	
every	
enemy	enemy
there	
is	be
a	
friend	friend
.	
\n	
Teach	teach
him	
the	
wonders	wonder
of	
books	book
.	
\n	
Give	give
him	
quiet	quiet
time	time
to	
ponder	ponder
the	
eternal	eternal
mystery	mystery
of	
birds	bird
in	
the	
sky	sky
,	
\n	
bees	bee
in	
the	
sun	sun
,	
and	
flowers	flower
on	
the	
green	green
hill	hill
.	
\n	
Teach	teach
him	
it	
is	be
far	far
more	more
honorable	honorable
to	
fail	fail
than	
to	
cheat	cheat
.	
\n	
Teach	teach
him	
to	
have	have
faith	faith
in	
his	
own	own
ideas	idea
,	
\n	
even	even
if	
everyone	everyone
else	else
tells	tell
him	
they	
are	be
wrong	wrong
.	
\n	
Teach	teach
him	
to	
sell	sell
his	
brawn	brawn
and	
brains	brain
to	
the	
highest	high
bidder	bidder
,	
\n	
but	
never	never
to	
put	put
a	
price	price
on	
his	
heart	heart
and	
soul	soul
.	
\n	
Teach	teach
him	
to	
close	close
his	
ears	ear
to	
a	
howling	howling
mob	mob
...	
\n	
and	
to	
stand	stand
and	
fight	fight
if	
he	
thinks	think
he	
’	
s	s
right	right
.	
\n	
Teach	teach
him	
gently	gently
,	
World	world
,	
but	
don	
’	
t	t
coddle	
him	
,	
\n	
because	
only	only
the	
test	test
of	
fire	fire
makes	make
fine	fine
steel	steel
.	
\n	
This	
is	be
a	
big	big
order	order
,	
World	world
,	
but	
see	see
what	
you	
can	can
do	do
.	
\n	
He	
’	
s	s
such	such
a	
nice	nice
little	little
fellow	fellow
.	
\n	
