036.On	
Motes	mote
and	
Beams	beam
\n	
It	
is	be
curious	curious
that	
our	
own	own
offenses	offense
should	should
seem	seem
so	so
much	much
less	less
heinous	heinous
than	
the	
offenses	offense
of	
others	
.	
\n	
I	
suppose	suppose
the	
reason	reason
is	be
that	
we	
know	know
all	
the	
circumstances	circumstance
that	
have	have
occasioned	occasion
them	
\n	
and	
so	so
manage	manage
to	
excuse	excuse
in	
ourselves	
what	
we	
cannot	cannot
excuse	excuse
in	
others	
.	
\n	
We	
turn	turn
our	
attention	attention
away	away
from	
our	
own	own
defects	defect
,	
and	
when	when
we	
are	be
forced	force
by	
untoward	untoward
events	event
to	
consider	consider
them	
,	
\n	
find	find
it	
easy	easy
to	
condone	
them	
.	
For	
all	
I	
know	know
we	
are	be
right	right
to	
do	do
this	
;	
they	
are	be
part	part
of	
us	
\n	
and	
we	
must	must
accept	accept
the	
good	good
and	
bad	bad
in	
ourselves	
together	together
.	
\n	
But	
when	when
we	
come	come
to	
judge	judge
others	
,	
it	
is	be
not	not
by	
ourselves	ourselves
as	
we	
really	really
are	be
that	
we	
judge	judge
them	
,	
\n	
but	
by	
an	
image	image
that	
we	
have	have
formed	form
of	
ourselves	ourselves
from	
which	
we	
have	have
left	leave
out	
everything	everything
\n	
that	
offends	offend
our	
vanity	vanity
or	
would	would
discredit	discredit
us	
in	
the	
eyes	eye
of	
the	
world	world
.	
To	
take	take
a	
trivial	trivial
instance	instance
:	
\n	
how	how
scornful	scornful
we	
are	be
when	when
we	
catch	catch
someone	someone
out	
telling	tell
a	
lie	lie
;	
\n	
but	
who	
can	can
say	say
that	
he	
has	have
not	not
told	tell
not	not
one	
,	
but	
a	
hundred	
?	
\n	
There	
is	be
not	not
much	much
to	
choose	choose
between	
men	men
.	
They	
are	be
all	
a	
hotchpotch	
of	
greatness	greatness
and	
littleness	littleness
,	
\n	
of	
virtue	virtue
and	
vice	vice
,	
of	
nobility	nobility
and	
baseness	baseness
.	
Some	
have	have
more	more
strength	strength
of	
character	character
,	
\n	
or	
more	more
opportunity	opportunity
,	
and	
so	so
in	
one	
direction	direction
or	
another	
give	give
their	
instincts	instinct
freer	freer
play	play
,	
\n	
but	
potentially	potentially
they	
are	be
the	
same	same
.	
For	
my	
part	part
,	
I	
do	do
not	not
think	think
I	
am	be
any	
better	good
or	
any	
worse	bad
than	
most	most
people	people
,	
\n	
but	
I	
know	know
that	
if	
I	
set	set
down	
every	
action	action
in	
my	
life	life
and	
every	
thought	thought
that	
has	have
crossed	cross
my	
mind	mind
,	
\n	
the	
world	world
would	would
consider	consider
me	
a	
monster	monster
of	
depravity	depravity
.	
\n	
The	
knowledge	knowledge
that	
these	
reveries	revery
are	be
common	common
to	
all	
men	men
should	should
inspire	inspire
one	
with	
tolerance	tolerance
to	
oneself	oneself
as	as
well	well
as	
to	
others	
.	
\n	
It	
is	be
well	well
also	also
if	
they	
enable	enable
us	
to	
look	look
upon	
our	
fellows	fellow
,	
even	even
the	
most	most
eminent	eminent
and	
respectable	respectable
,	
\n	
with	
humor	humor
,	
and	
if	
they	
lead	lead
us	
to	
take	take
ourselves	
not	not
too	too
seriously	seriously
.	
\n	
