Mother	mother
of	
Mercy	mercy
Hospital	hospital
is	be
the	
only	only
medical	medical
facility	facility
in	
all	
of	
South	south
Kordofan	
province	province
.	
\n	
The	
80	
-	
bed	bed
hospital	hospital
runs	run
at	
triple	triple
its	
capacity	capacity
.	
\n	
The	
staff	staff
is	be
currently	currently
dealing	deal
with	
a	
large-scale	
measles	measles
outbreak	outbreak
—	
\n	
with	
more	more
than	
1,000	
admissions	admission
for	
measles	measles
alone	alone
just	just
last	last
month	month
,	
\n	
and	
a	
25	
-	
per-thousand	
measles-related	
fatality	fatality
rate	rate
.	
\n	
Nurse	nurse
Maizub	
Hassen	
says	say
many	many
more	more
cases	case
are	be
assumed	assume
to	
be	be
undetected	undetected
in	
rural	rural
villages	village
.	
\n	
“	
This	
is	be
when	when
the	
measles	measles
become	become
serious	serious
.	
\n	
They	
come	come
to	
the	
hospital	hospital
.	
\n	
Every	
day	day
we	
do	do
receive	receive
almost	almost
20	
admissions	admission
,	
sometimes	sometimes
10	
admissions	admission
in	
a	
day	day
,	
and	
it	
is	be
really	really
very	very
,	
very	very
dangerous	dangerous
here	here
,	
"	
he	
said	say
.	
\n	
“	
But	
the	
bigger	big
problem	problem
here	here
is	be
the	
vaccines	vaccine
.	
\n	
We	
don't	
have	have
vaccines	vaccine
at	
all	
.	
”	
\n	
For	
three	
years	year
,	
Sudan's	
government	government
has	have
refused	refuse
to	
let	let
humanitarian	humanitarian
aid	aid
into	
rebel-controlled	
areas	area
.	
\n	
As	
a	
result	result
,	
vaccine	vaccine
supplies	supply
were	be
cut	cut
off	
,	
\n	
leaving	leave
the	
whole	whole
community	community
here	here
unvaccinated	
and	
thousands	thousand
of	
children	child
at	
risk	risk
of	
dying	die
from	
otherwise	otherwise
preventable	
diseases	disease
.	
\n	
Hassen	
also	also
checks	check
the	
younger	young
children	child
for	
signs	sign
of	
malnutrition	malnutrition
.	
\n	
He	
says	say
at	
least	least
40	
percent	percent
of	
these	
children	child
are	be
malnourished	
because	
of	
poor	poor
access	access
to	
food	food
.	
\n	
Sometimes	sometimes
it's	
because	
mothers	mother
are	be
not	not
feeding	feeding
,	
\n	
and	
sometimes	sometimes
it's	
because	
of	
sickness	sickness
,	
"	
but	
mostly	mostly
it's	
because	
of	
lack	lack
of	
food	food
,	
"	
he	
said	say
.	
\n	
"	
They	
are	be
not	not
getting	get
the	
food	food
which	
gives	give
a	
balanced	balanced
diet	diet
.	
”	
\n	
In	
addition	addition
to	
the	
blockade	blockade
,	
Sudan's	
government	government
has	have
been	be
accused	accuse
of	
targeting	target
civilians	civilian
,	
\n	
hospitals	hospital
and	
aid	aid
convoys	convoy
destroying	destroy
the	
little	little
resources	resource
left	leave
in	
this	
cut-off	
region	region
,	
\n	
though	
the	
government	government
denies	deny
those	
allegations	allegation
.	
\n	
Clinical	clinical
officer	officer
Moral	moral
Said	said
says	say
many	many
are	be
injured	injure
but	
the	
hospital	hospital
lacks	lack
enough	enough
supplies	supply
to	
treat	treat
them	
.	
\n	
“	
Since	
the	
war	war
started	start
in	
2011	
,	
we	
really	really
have	have
had	have
a	
lot	lot
of	
patients	patient
who	
have	have
been	be
wounded	wound
,	
\n	
where	where
there	
have	have
been	be
gunshots	gunshot
[	
from	
]	
Antonov	
jet	jet
fighters	fighter
,	
