009.Who	
Moved	moved
My	my
Cheese	cheese
?	
\n	
“	
Who	
moved	move
my	
cheese	cheese
?	
”	
\n	
is	be
a	
story	story
about	
change	change
that	
takes	take
place	place
in	
a	
Maze	maze
where	where
four	
amusing	amuse
characters	character
look	look
for	
“	
Cheese	cheese
”	
\n	
-	
cheese	cheese
being	be
a	
metaphor	metaphor
for	
what	
we	
want	want
to	
have	have
in	
life	life
,	
whether	
it	
is	be
a	
job	job
,	
a	
relationship	relationship
,	
money	money
,	
\n	
a	
big	big
house	house
,	
freedom	freedom
,	
health	health
,	
recognition	recognition
,	
spiritual	spiritual
peace	peace
,	
or	
even	even
an	
activity	activity
like	
jogging	jogging
or	
golf	golf
.	
\n	
Each	
of	
us	
has	have
our	
own	own
idea	idea
of	
what	
Cheese	cheese
is	be
,	
and	
we	
pursue	pursue
it	
because	
we	
believe	believe
it	
can	can
makes	make
us	
happy	happy
.	
\n	
If	
we	
get	get
it	
,	
we	
often	often
become	become
attached	attach
to	
it	
.	
And	
if	
we	
lose	lose
it	
,	
or	
it	
’	
s	s
taken	take
away	away
,	
it	
can	can
be	be
traumatic	traumatic
.	
\n	
The	
“	
Maze	maze
”	
in	
the	
story	story
represents	represent
where	where
you	
spend	spend
time	time
looking	look
for	
what	
you	
want	want
.	
\n	
It	
can	can
be	be
the	
organization	organization
you	
work	work
in	
,	
the	
community	community
you	
live	live
in	
,	
or	
the	
relationships	relationship
you	
have	have
in	
your	
life	life
.	
\n	
...	
In	
the	
story	story
you	
will	will
see	see
that	
the	
two	
mice	mouse
do	do
better	good
when	when
they	
are	be
faced	face
with	
change	change
because	
they	
keep	keep
things	thing
simple	simple
,	
\n	
while	
the	
two	
little	little
people	people
’	
s	s
complex	complex
brains	brain
and	
human	human
emotions	emotion
complicate	complicate
things	thing
.	
\n	
It	
is	be
not	not
that	
mice	mouse
are	be
smarter	
.	
We	
all	
know	know
people	people
are	be
more	more
intelligent	intelligent
than	
mice	mouse
.	
\n	
However	however
,	
as	
you	
watch	watch
what	
the	
four	
characters	character
do	do
,	
\n	
and	
realize	realize
both	
the	
mice	mouse
and	
the	
little	little
people	people
represent	represent
parts	part
of	
ourselves	ourselves
\n	
-	
the	
simple	simple
and	
the	
complex	complex
\n	
-	
you	
can	can
see	see
it	
would	would
be	be
to	
our	
advantage	advantage
to	
do	do
the	
simple	simple
things	thing
that	
work	work
when	when
things	thing
change	change
.	
\n	
The	
Story	story
of	
WHO	who
MOVED	moved
MY	my
CHEESE	cheese
?	
(	
Extracted	extract
)	
\n	
Having	have
cheese	cheese
makes	make
you	
happy	happy
.	
\n	
The	
more	more
important	important
your	
cheese	cheese
is	be
to	
you	
,	
the	
more	more
you	
want	want
to	
hold	hold
on	
to	
it	
.	
\n	
If	
you	
do	do
not	not
change	change
you	
can	can
become	become
extinct	extinct
.	
\n	
What	
would	would
you	
do	do
if	
you	
weren	
’	
t	t
afraid	afraid
?	
\n	
Smell	smell
the	
cheese	cheese
often	often
so	so
you	
know	know
when	when
it	
is	be
getting	get
old	old
.	
\n	
Movement	movement
in	
a	
new	new
direction	direction
helps	help
you	
find	find
new	new
cheese	cheese
.	
\n	
When	when
you	
move	move
beyond	
your	
fear	fear
,	
you	
feel	feel
free	free
.	
\n	
Imagining	imagine
myself	
enjoying	enjoy
new	new
cheese	cheese
,	
even	even
before	
I	
find	find
it	
,	
leads	lead
me	
to	
find	find
it	
.	
\n	
The	
quicker	quicker
you	
let	let
go	go
of	
old	old
cheese	cheese
,	
the	
sooner	sooner
you	
find	find
new	new
cheese	cheese
.	
\n	
It	
is	be
safer	safe
to	
search	search
in	
the	
Maze	maze
than	
remain	remain
in	
a	
cheeseless	
situation	situation
.	
\n	
Old	old
beliefs	belief
do	do
not	not
lead	lead
you	
to	
new	new
cheese	cheese
.	
\n	
When	when
you	
see	see
that	
you	
can	can
find	find
and	
enjoy	enjoy
new	new
cheese	cheese
you	
can	can
change	change
course	course
.	
\n	
Noticing	notice
small	small
changes	change
early	early
helps	help
you	
to	
adapt	adapt
to	
the	
bigger	big
changes	change
that	
are	be
to	
come	come
.	
\n	
THE	
HANDWRITING	handwriting
ON	on
THE	the
WALL	wall
Change	change
Happens	
-	
They	
keep	keep
moving	move
the	
cheese	cheese
\n	
Anticipate	anticipate
Change	change
-	
Get	get
ready	ready
for	
the	
cheese	cheese
to	
move	move
Monitor	monitor
Change	change
-	
Smell	smell
the	
cheese	cheese
so	
you	
know	know
when	when
it	
is	be
getting	get
old	old
\n	
Adapt	adapt
To	
Change	change
Quickly	quickly
-	
The	
quicker	quicker
you	
let	let
go	go
of	
old	old
cheese	cheese
,	
the	
sooner	sooner
you	
can	can
enjoy	enjoy
new	new
cheese	cheese
\n	
Change	change
-	
Move	move
with	
the	
cheese	cheese
\n	
Enjoy	enjoy
Change	change
-	
Savor	savor
the	
adventure	adventure
and	
enjoy	enjoy
the	
taste	taste
of	
new	new
cheese	cheese
\n	
Be	be
ready	ready
to	
change	change
quickly	quickly
and	
enjoy	enjoy
it	
again	again
\n	
They	
keep	keep
moving	move
the	
cheese	cheese
\n	
Move	move
With	
The	
Cheese	cheese
And	
Enjoy	enjoy
It	
!	
\n	
